Constructing ISIC2019LT Dataset with imbalance factor=500
Training with 4 GPUS, waiting until all processes join before starting training
Total # images:13556, labels:13556, number of classes
Total # images:3874, labels:3874, number of classes
Total # images:1939, labels:1939, number of classes
Total # images:13556, labels:13556, number of classes
Total # images:13556, labels:13556, number of classes
Total # images:13556, labels:13556, number of classes

Epoch: [21/100] Iter [  24/  26] || Time: 4265.7267 sec || lr: 0.010000 || Loss: 2.1318
Epoch: [22/100] Iter [   8/  26] || Time: 4381.4981 sec || lr: 0.010000 || Loss: 2.0297
Epoch: [22/100] Iter [  18/  26] || Time: 4431.5306 sec || lr: 0.010000 || Loss: 1.5846
Epoch: [23/100] Iter [   2/  26] || Time: 4539.0956 sec || lr: 0.010000 || Loss: 1.4526
Epoch: [23/100] Iter [  12/  26] || Time: 4598.0210 sec || lr: 0.010000 || Loss: 1.3236
Epoch: [23/100] Iter [  22/  26] || Time: 4643.8008 sec || lr: 0.010000 || Loss: 1.1620
Epoch: [24/100] Iter [   6/  26] || Time: 4755.9408 sec || lr: 0.010000 || Loss: 1.1450
Epoch: [24/100] Iter [  16/  26] || Time: 4806.5735 sec || lr: 0.010000 || Loss: 1.2385
Epoch: [24/100] Iter [  26/  26] || Time: 4866.9985 sec || lr: 0.010000 || Loss: 1.3504
Epoch: [25/100] Iter [  10/  26] || Time: 4960.5537 sec || lr: 0.010000 || Loss: 1.1254
Epoch: [25/100] Iter [  20/  26] || Time: 5009.9960 sec || lr: 0.010000 || Loss: 1.0370
Epoch: [26/100] Iter [   4/  26] || Time: 5117.4777 sec || lr: 0.010000 || Loss: 1.1050
Epoch: [26/100] Iter [  14/  26] || Time: 5171.5196 sec || lr: 0.010000 || Loss: 1.1611
Epoch: [26/100] Iter [  24/  26] || Time: 5217.9025 sec || lr: 0.010000 || Loss: 1.0448
Epoch: [27/100] Iter [   8/  26] || Time: 5330.1539 sec || lr: 0.010000 || Loss: 1.0515
