Constructing ISIC2019LT Dataset with imbalance factor=500
Training with 4 GPUS, waiting until all processes join before starting training
Total # images:13556, labels:13556, number of classes
Total # images:13556, labels:13556, number of classes
Total # images:3874, labels:3874, number of classes
Total # images:1939, labels:1939, number of classes
Total # images:13556, labels:13556, number of classes
Total # images:13556, labels:13556, number of classes

Epoch: [21/100] Iter [  24/  26] || Time: 4293.6699 sec || lr: 0.010000 || Loss: -97.7089
Epoch: [22/100] Iter [   8/  26] || Time: 4401.6604 sec || lr: 0.010000 || Loss: -106.1013
Epoch: [22/100] Iter [  18/  26] || Time: 4451.8044 sec || lr: 0.010000 || Loss: -109.3384
Epoch: [23/100] Iter [   2/  26] || Time: 4557.4155 sec || lr: 0.010000 || Loss: -111.2960
Epoch: [23/100] Iter [  12/  26] || Time: 4616.4199 sec || lr: 0.010000 || Loss: -112.0383
Epoch: [23/100] Iter [  22/  26] || Time: 4664.0354 sec || lr: 0.010000 || Loss: -112.4920
Epoch: [24/100] Iter [   6/  26] || Time: 4771.1138 sec || lr: 0.010000 || Loss: -112.3158
Epoch: [24/100] Iter [  16/  26] || Time: 4823.3711 sec || lr: 0.010000 || Loss: -113.8756
Epoch: [24/100] Iter [  26/  26] || Time: 4880.5333 sec || lr: 0.010000 || Loss: -113.7254
Epoch: [25/100] Iter [  10/  26] || Time: 4974.6678 sec || lr: 0.010000 || Loss: -114.1594
Epoch: [25/100] Iter [  20/  26] || Time: 5023.9187 sec || lr: 0.010000 || Loss: -113.8636
Epoch: [26/100] Iter [   4/  26] || Time: 5134.5153 sec || lr: 0.010000 || Loss: -114.5617
Epoch: [26/100] Iter [  14/  26] || Time: 5193.5456 sec || lr: 0.010000 || Loss: -113.3366
Epoch: [26/100] Iter [  24/  26] || Time: 5242.0012 sec || lr: 0.010000 || Loss: -114.7674
Epoch: [27/100] Iter [   8/  26] || Time: 5362.8706 sec || lr: 0.010000 || Loss: -114.8042
Epoch: [27/100] Iter [  18/  26] || Time: 5411.7247 sec || lr: 0.010000 || Loss: -114.4362
Epoch: [28/100] Iter [   2/  26] || Time: 5516.2240 sec || lr: 0.010000 || Loss: -114.1986
Epoch: [28/100] Iter [  12/  26] || Time: 5577.6620 sec || lr: 0.010000 || Loss: -115.4984
Epoch: [28/100] Iter [  22/  26] || Time: 5625.1804 sec || lr: 0.010000 || Loss: -114.3460
Epoch: [29/100] Iter [   6/  26] || Time: 5734.9621 sec || lr: 0.010000 || Loss: -115.0315
